8,307,130,3504,12,70,18
8,350,165,3693,11.5,70,15
8,318,150,3436,11,70,18
8,304,150,3433,12,70,16
8,302,140,3449,10.5,70,17
8,429,198,4341,10,70,15
8,454,220,4354,9,70,14
8,440,215,4312,8.5,70,14
8,455,225,4425,10,70,14
8,390,190,3850,8.5,70,15
8,383,170,3563,10,70,15
8,340,160,3609,8,70,14
8,400,150,3761,9.5,70,15
8,455,225,3086,10,70,14
4,113,95,2372,15,70,24
6,198,95,2833,15.5,70,22
6,199,97,2774,15.5,70,18
6,200,85,2587,16,70,21
4,97,88,2130,14.5,70,27
4,97,46,1835,20.5,70,26
4,110,87,2672,17.5,70,25
4,107,90,2430,14.5,70,24
4,104,95,2375,17.5,70,25
4,121,113,2234,12.5,70,26
6,199,90,2648,15,70,21
8,360,215,4615,14,70,10
8,307,200,4376,15,70,10
8,318,210,4382,13.5,70,11
8,304,193,4732,18.5,70,9
4,97,88,2130,14.5,71,27
4,140,90,2264,15.5,71,28
4,113,95,2228,14,71,25
4,98,?,2046,19,71,25
6,232,100,2634,13,71,19
6,225,105,3439,15.5,71,16
6,250,100,3329,15.5,71,17
6,250,88,3302,15.5,71,19
6,232,100,3288,15.5,71,18
8,350,165,4209,12,71,14
8,400,175,4464,11.5,71,14
8,351,153,4154,13.5,71,14
8,318,150,4096,13,71,14
8,383,180,4955,11.5,71,12
8,400,170,4746,12,71,13
8,400,175,5140,12,71,13
6,258,110,2962,13.5,71,18
4,140,72,2408,19,71,22
6,250,100,3282,15,71,19
6,250,88,3139,14.5,71,18
4,122,86,2220,14,71,23
4,116,90,2123,14,71,28
4,79,70,2074,19.5,71,30
4,88,76,2065,14.5,71,30
4,71,65,1773,19,71,31
4,72,69,1613,18,71,35
4,97,60,1834,19,71,27
4,91,70,1955,20.5,71,26
4,113,95,2278,15.5,72,24
4,97.5,80,2126,17,72,25
4,97,54,2254,23.5,72,23
4,140,90,2408,19.5,72,20
4,122,86,2226,16.5,72,21
8,350,165,4274,12,72,13
8,400,175,4385,12,72,14
8,318,150,4135,13.5,72,15
8,351,153,4129,13,72,14
8,304,150,3672,11.5,72,17
8,429,208,4633,11,72,11
8,350,155,4502,13.5,72,13
8,350,160,4456,13.5,72,12
8,400,190,4422,12.5,72,13
3,70,97,2330,13.5,72,19
8,304,150,3892,12.5,72,15
8,307,130,4098,14,72,13
8,302,140,4294,16,72,13
8,318,150,4077,14,72,14
4,121,112,2933,14.5,72,18
4,121,76,2511,18,72,22
4,120,87,2979,19.5,72,21
4,96,69,2189,18,72,26
4,122,86,2395,16,72,22
4,97,92,2288,17,72,28
4,120,97,2506,14.5,72,23
4,98,80,2164,15,72,28
4,97,88,2100,16.5,72,27
8,350,175,4100,13,73,13
8,304,150,3672,11.5,73,14
8,350,145,3988,13,73,13
8,302,137,4042,14.5,73,14
8,318,150,3777,12.5,73,15
8,429,198,4952,11.5,73,12
8,400,150,4464,12,73,13
8,351,158,4363,13,73,13
8,318,150,4237,14.5,73,14
8,440,215,4735,11,73,13
8,455,225,4951,11,73,12
8,360,175,3821,11,73,13
6,225,105,3121,16.5,73,18
6,250,100,3278,18,73,16
6,232,100,2945,16,73,18
6,250,88,3021,16.5,73,18
6,198,95,2904,16,73,23
4,97,46,1950,21,73,26
8,400,150,4997,14,73,11
8,400,167,4906,12.5,73,12
8,360,170,4654,13,73,13
8,350,180,4499,12.5,73,12
6,232,100,2789,15,73,18
4,97,88,2279,19,73,20
4,140,72,2401,19.5,73,21
4,108,94,2379,16.5,73,22
3,70,90,2124,13.5,73,18
4,122,85,2310,18.5,73,19
6,155,107,2472,14,73,21
4,98,90,2265,15.5,73,26
8,350,145,4082,13,73,15
8,400,230,4278,9.5,73,16
4,68,49,1867,19.5,73,29
4,116,75,2158,15.5,73,24
